id,name,day,stage,genres
friday--atmosphere--azyr,Azyr,friday,ATMOSPHERE,Hard Techno
friday--atmosphere--boy-girl,BOY&GIRL,friday,ATMOSPHERE,Tech House
friday--atmosphere--callush,Callush,friday,ATMOSPHERE,Hard Techno | Techno
friday--atmosphere--dyen-b2b-maddix,Dyen b2b Maddix,friday,ATMOSPHERE,Hard Techno | Big Room / EDM
friday--atmosphere--holy-priest,Holy Priest,friday,ATMOSPHERE,Hard Techno
friday--atmosphere--mha-iri,Mha Iri,friday,ATMOSPHERE,Techno | Hard Techno
friday--atmosphere--onlynumbers,Onlynumbers,friday,ATMOSPHERE,Hard Techno
friday--atmosphere--skeletor-yogi,Skeletor Yogi,friday,ATMOSPHERE,Psytrance
friday--cage--bazzy,BAZZY,friday,CAGE,Tech House
friday--cage--dj-furax,DJ FURAX,friday,CAGE,Hardstyle | Retro / Classics
friday--cage--drs-b2b-sandy-warez,DRS b2b SANDY WAREZ,friday,CAGE,Hardcore / Uptempo
friday--cage--imhappy,IMHAPPY,friday,CAGE,Melodic Techno
friday--cage--lekkerfaces,LEKKERFACES,friday,CAGE,Hardcore / Uptempo
friday--cage--natte-visstick,NATTE VISSTICK,friday,CAGE,Hard Techno | Hardcore / Uptempo
friday--cage--partyraiser-b2b-bulletproof,PARTYRAISER b2b BULLETPROOF,friday,CAGE,Hardcore / Uptempo
friday--cage--terrorclown,TERRORCLOWN,friday,CAGE,Hardcore / Uptempo
friday--cage--todiefor,TODIEFOR,friday,CAGE,Dance-Pop | Tech House
friday--cage--toxic-twins,TOXIC TWINS,friday,CAGE,Hardcore / Uptempo
friday--cage--yoshiko,YOSHIKO,friday,CAGE,Melodic Techno
friday--celestia-by-kucoin--aat,AAT,friday,CELESTIA BY KUCOIN,Techno
friday--celestia-by-kucoin--belters-only,Belters Only,friday,CELESTIA BY KUCOIN,House | Dance-Pop
friday--celestia-by-kucoin--gissa,Gissa,friday,CELESTIA BY KUCOIN,Melodic Techno
friday--celestia-by-kucoin--mr-belt-wezol,Mr. Belt & Wezol,friday,CELESTIA BY KUCOIN,House
friday--celestia-by-kucoin--ruze-b2b-ranger-trucco,Ruze b2b Ranger Trucco,friday,CELESTIA BY KUCOIN,Tech House | Deep House
friday--celestia-by-kucoin--saar-kuus,Saar Kuus,friday,CELESTIA BY KUCOIN,Melodic Techno
friday--core--bibi-seck-b2b-faisal,Bibi Seck b2b Faisal,friday,CORE,House | Deep House
friday--core--bullet-tooth,Bullet Tooth,friday,CORE,Drum & Bass
friday--core--fais-le-beau-b2b-sixsixsixties,Fais Le Beau b2b Sixsixsixties,friday,CORE,Techno
friday--core--kamma,Kamma,friday,CORE,Melodic Techno
friday--core--mall-grab,Mall Grab,friday,CORE,House | Techno
friday--core--ogazon,Ogazón,friday,CORE,House | Deep House
friday--core--oscar-and-the-wolf,Oscar and the Wolf,friday,CORE,Indie Dance | Dance-Pop
friday--crystal-garden--capoon,Capoon,friday,CRYSTAL GARDEN,Afro House | Deep House
friday--crystal-garden--deco,Deco,friday,CRYSTAL GARDEN,Melodic Techno
friday--crystal-garden--hugel,Hugel,friday,CRYSTAL GARDEN,Tech House | House
friday--crystal-garden--joezi,Joezi,friday,CRYSTAL GARDEN,Afro House | Deep House
friday--crystal-garden--kitty-amor-b2b-curol,Kitty Amor b2b Curol,friday,CRYSTAL GARDEN,Afro House | Deep House
friday--crystal-garden--mahmut-orhan,Mahmut Orhan,friday,CRYSTAL GARDEN,Melodic Techno | Indie Dance
friday--crystal-garden--malive,Malive,friday,CRYSTAL GARDEN,Tech House
friday--crystal-garden--shimza,Shimza,friday,CRYSTAL GARDEN,Afro House | Deep House
friday--elixir--hirak,$hirak,friday,ELIXIR,Trap / Hip-Hop | Dance-Pop
friday--elixir--brooke-bailey-b2b-taliyah-ayana,Brooke Bailey b2b Taliyah Ayana,friday,ELIXIR,Afro House | Trap / Hip-Hop
friday--elixir--cham-b2b-uneak,Cham b2b Uneak,friday,ELIXIR,Melodic Techno
friday--elixir--dany-neville,Dany Neville,friday,ELIXIR,Trap / Hip-Hop
friday--elixir--flash,Flash,friday,ELIXIR,Tech House
friday--elixir--iris-rooth,Iris Rooth,friday,ELIXIR,Melodic Techno
friday--elixir--irwan,Irwan,friday,ELIXIR,Trap / Hip-Hop
friday--elixir--miro,Miro,friday,ELIXIR,Melodic Techno
friday--elixir--nems,Nems,friday,ELIXIR,Trap / Hip-Hop
friday--elixir--rosh,Rosh,friday,ELIXIR,Melodic Techno
friday--elixir--valentino-ignoto,Valentino Ignoto,friday,ELIXIR,Melodic Techno
friday--freedom-by-bud--aaron-hibell,Aaron Hibell,friday,FREEDOM BY BUD,Trance | Techno
friday--freedom-by-bud--alesso,Alesso,friday,FREEDOM BY BUD,Progressive House | Big Room / EDM
friday--freedom-by-bud--amber-broos-b2b-juliet-fox,Amber Broos b2b Juliet Fox,friday,FREEDOM BY BUD,Techno
friday--freedom-by-bud--esin-boz,Esin Boz,friday,FREEDOM BY BUD,Melodic Techno
friday--freedom-by-bud--fisher,Fisher,friday,FREEDOM BY BUD,Tech House | House
friday--freedom-by-bud--james-hype,James Hype,friday,FREEDOM BY BUD,Tech House
friday--freedom-by-bud--joa,JOA,friday,FREEDOM BY BUD,Melodic Techno
friday--house-of-fortune-by-jbl--alan-alvarez-crazy-sir-g,Alan Alvarez & CRAZY SIR-G,friday,HOUSE OF FORTUNE BY JBL,Techno
friday--house-of-fortune-by-jbl--elfigo,ELFIGO,friday,HOUSE OF FORTUNE BY JBL,Melodic Techno
friday--house-of-fortune-by-jbl--martin-trevy,Martin Trevy,friday,HOUSE OF FORTUNE BY JBL,Dance-Pop | Progressive House
friday--house-of-fortune-by-jbl--reygel,Reygel,friday,HOUSE OF FORTUNE BY JBL,Melodic Techno
friday--house-of-fortune-by-jbl--vinne,Vinne,friday,HOUSE OF FORTUNE BY JBL,Tech House
friday--mainstage--alok,Alok,friday,MAINSTAGE,Big Room / EDM | Tech House
friday--mainstage--ely-oaks,Ely Oaks,friday,MAINSTAGE,Hard Techno | Techno
friday--mainstage--hardwell,Hardwell,friday,MAINSTAGE,Big Room / EDM | Hardstyle
friday--mainstage--indira-paganotto,Indira Paganotto,friday,MAINSTAGE,Hard Techno | Psytrance | Techno
friday--mainstage--kolsch,Kölsch,friday,MAINSTAGE,Melodic Techno | House
friday--mainstage--mc-stretch,MC STRETCH,friday,MAINSTAGE,Electronic
friday--mainstage--miss-monique,Miss Monique,friday,MAINSTAGE,Melodic Techno | Progressive House
friday--mainstage--nicky-romero,Nicky Romero,friday,MAINSTAGE,Progressive House | Big Room / EDM
friday--mainstage--steve-angello,Steve Angello,friday,MAINSTAGE,Progressive House | Big Room / EDM
friday--mainstage--yves-v,Yves V,friday,MAINSTAGE,Big Room / EDM | Progressive House
friday--melodia-by-corona--jeroen-delodder,Jeroen Delodder,friday,MELODIA BY CORONA,Hardstyle
friday--melodia-by-corona--john-noseda,John Noseda,friday,MELODIA BY CORONA,Indie Dance | House
friday--melodia-by-corona--joulie,Joulie,friday,MELODIA BY CORONA,Melodic Techno
friday--melodia-by-corona--planet-groove-dj-s,Planet Groove DJ's,friday,MELODIA BY CORONA,House | Deep House
friday--melodia-by-corona--spies,SPIES,friday,MELODIA BY CORONA,Melodic Techno
friday--moose-bar--jo-cox,Jo Cox,friday,MOOSE BAR,Tech House
friday--moose-bar--prosit,Prosit,friday,MOOSE BAR,Hardstyle
friday--moose-bar--the-bobmeister,The Bobmeister,friday,MOOSE BAR,Melodic Techno
friday--planaxis--avalon,Avalon,friday,PLANAXIS,Psytrance
friday--planaxis--beat-controllers,Beat Controllers,friday,PLANAXIS,Hardstyle
friday--planaxis--blastoyz,Blastoyz,friday,PLANAXIS,Psytrance
friday--planaxis--blazy,Blazy,friday,PLANAXIS,Psytrance
friday--planaxis--domi-re,Domi Re,friday,PLANAXIS,Melodic Techno
friday--planaxis--electric-universe,Electric Universe,friday,PLANAXIS,Psytrance
friday--planaxis--firaga,Firaga,friday,PLANAXIS,Psytrance
friday--planaxis--locus,Locus,friday,PLANAXIS,Psytrance
friday--planaxis--phaxe,Phaxe,friday,PLANAXIS,Psytrance
friday--planaxis--somnia,Somnia,friday,PLANAXIS,Psytrance
friday--planaxis--vegas,Vegas,friday,PLANAXIS,Psytrance
